id,base_x,base_y,instruct_x,instruct_y,size,label,article_id,section_count,bert_x,bert_y
0,7.026248,8.469714,11.166986,2.464352,4.123,Knowledge,251,17,8.49694994117647,3.6784398352941174
1,4.910255,7.234208,7.950224,1.72751,3.606,Manufacturing,280,13,6.593160592307693,-0.10242245269230767
2,8.015171,8.627669,11.160176,2.826993,4.472,Mind,297,20,8.534631225,4.3845676
3,3.004395,8.394966,8.227985,1.216638,6.325,Oceania,326,40,5.9816103975,0.5202623885
4,2.066434,7.784711,7.310775,1.0141,4.123,Prehistory,363,17,7.7839686529411765,1.5520967588235293
5,2.907126,8.832899,8.995579,0.724764,6.083,Sea,400,37,3.347407135135135,2.725709413783784
6,2.817304,7.707684,7.551083,1.283859,5.196,Universe,469,27,4.135927411111111,5.524656829629629
7,4.374448,7.980002,9.582654,1.585974,5.385,Africa,644,29,6.1985435620689655,1.408417277586207
8,4.033666,7.874086,8.725756,1.042899,5.477,Agriculture,660,30,3.4342367666666664,1.7551941033333334
9,4.366262,8.028379,9.94183,1.668692,5.831,Ancient history,802,34,7.508070214705882,1.2394849126470588
10,3.12545,7.004165,9.039252,1.315723,4.796,Architecture,902,23,9.958880130434782,0.22267440586956522
11,8.002175,8.784528,10.9873,2.130704,4.796,Arithmetic,911,23,7.416453273913043,8.118908982608696
12,3.725466,7.64689,8.717913,1.547157,5.0,Asia,937,25,6.096093852,1.1992791956
13,4.615062,6.524009,9.747019,1.047733,5.568,Astronomy,962,31,3.4349248548387097,5.431159203225806
14,4.819993,6.972551,8.92229,0.993169,4.796,Atmosphere of Earth,973,23,2.1607319434782606,3.947461591304348
15,5.586071,6.78761,9.378983,1.472892,3.606,Civilization,1524,13,8.298863146153845,1.026280543076923
16,3.184794,7.130908,7.521748,1.562425,2.828,Climate,1540,8,2.8694590125,2.9779155125
17,5.285144,7.654927,9.887942,1.176993,4.796,Clothing,1546,23,5.718251417391305,-1.2639344382608697
18,2.560741,8.213985,7.273576,1.176393,3.606,Culture,1737,13,9.175620692307692,1.0286246799999998
19,5.179182,7.256365,10.105896,2.241852,6.083,Death,1803,37,5.298004085675675,2.569648643243243
20,2.881655,7.139787,7.648335,1.544109,5.385,Earth,1949,29,2.45818375862069,3.808475706896552
21,3.74065,8.279372,8.113436,0.717729,6.403,Ecology,1967,41,2.052383992682927,2.145759443902439
22,7.239365,8.889878,9.520081,2.21812,4.796,Education,1988,23,9.106651586956522,3.002584
23,2.194467,6.792046,6.867728,1.35478,4.123,Electricity,2035,17,4.978414758823529,5.613611176470588
24,4.02145,8.328908,8.583596,0.717467,5.745,Emotion,2064,33,9.455235621212122,4.682217733333333
25,3.271651,6.57325,7.918095,0.918913,4.69,Energy,2082,22,4.052469768181818,5.3141695409090905
26,3.998537,6.961278,7.912829,1.568305,4.472,Engineering,2084,20,6.88746637,4.515887385
27,5.961844,8.301741,10.804462,2.274635,5.657,Entertainment,2090,32,10.9952224375,1.24698813115625
28,2.970771,7.854997,8.11158,0.835063,3.742,Ethnicity,2139,14,7.613369764285714,0.05215417500000002
29,2.519754,7.961392,7.281468,1.029124,5.477,Europe,2157,30,6.365444569999999,0.9266764948666667
30,2.561514,6.766111,6.366076,1.470189,5.568,Evolution,2171,31,1.5910899335483872,1.6433163064516128
31,3.127062,8.246539,7.54883,1.331942,7.071,Family,2207,50,9.422334976,-0.9900259680000001
32,6.085631,7.107239,10.274897,1.544494,3.873,Fire,2271,15,3.7633767533333335,3.876312786666667
33,5.701421,7.777791,9.509014,2.079795,4.359,Folklore,2307,19,9.648400578947369,1.1709066631578948
34,2.994651,7.167755,6.604266,1.227969,5.099,Game,2412,26,12.37110275769231,-0.04753462836538462
35,2.740363,7.459395,7.392993,2.533218,5.385,Geometry,2458,29,8.20739231724138,8.133761082758621
36,7.758896,8.496928,10.963286,2.470902,4.243,History,2812,18,8.613060805555556,1.9975429983333335
37,5.299064,8.574888,9.445234,2.189993,3.162,Home,2930,10,9.233874349999999,-0.202583495
38,3.750632,7.70519,7.92464,1.097324,5.568,Human,2981,31,7.59170544516129,1.6755059183870966
39,3.336651,7.345207,7.92951,1.631497,3.317,Human settlement,2988,11,4.766127054545454,2.1792296454545452
40,6.681081,7.214492,10.729586,1.756465,5.745,Land,3545,33,3.657661009090909,2.434947554242424
41,4.622419,7.861127,8.389357,0.136782,5.916,Language,3551,35,10.128675414285714,3.0012762114285714
42,4.550047,6.979217,8.418319,1.196603,5.292,Life,3642,28,2.0730204375,2.5915618
43,4.689193,7.429916,9.226912,1.64669,5.292,Literature,3668,28,10.123230071428571,1.4275146382142856
44,3.142331,7.17941,6.423143,1.495456,5.657,Logic,3679,32,9.615952225,6.973192015625
45,4.743993,7.473053,9.411463,2.050095,4.583,Mass media,3881,21,10.685932095238096,1.8591386280952382
46,4.754805,7.3292,9.825878,1.822917,6.928,Moon,4108,48,1.7931553052083335,4.6562276958333335
47,3.644311,7.590911,7.192015,1.053662,6.557,Music,4160,43,11.550590860465116,1.676692123255814
48,5.952328,7.406345,10.191655,1.343585,5.568,North America,4335,31,5.31450335483871,0.9671724974193548
49,2.815587,7.305394,7.411051,1.52768,4.899,Physics,4697,24,5.313159858333333,5.3563499750000005
50,5.693506,6.856008,10.280822,1.530835,4.899,Plant,4727,24,1.99497576875,2.2161061291666666
51,4.370744,7.433921,8.28182,1.404834,5.657,Politics,4768,32,8.383494421875,-1.2876770715625
52,4.680316,7.702963,9.588293,1.66609,6.928,Psychology,4879,48,8.554003197916666,4.6587705604166665
53,4.286803,7.905768,9.096689,1.434487,3.606,Reproduction,5024,13,0.961150636923077,1.493256346153846
54,3.747193,6.916939,8.42957,0.931571,5.477,Solar System,5448,30,1.7510525833333332,5.24921698
55,4.859963,8.19003,9.765227,1.392506,6.164,South America,5471,38,5.091927968421053,0.430838008
56,4.180095,8.352785,9.538743,1.597795,5.568,State (polity),5550,31,8.499223903225806,-0.9455506948387096
57,3.100281,7.314727,8.417085,2.29047,5.0,Statistics,5553,25,8.14270976,5.945568872
58,4.025624,6.856767,9.56615,0.892394,5.568,Sun,5632,31,2.4410642193548386,4.853905416129033
59,4.714104,7.831827,9.94668,1.957953,4.796,Technology,5744,23,7.42177782173913,2.4370607739130437
60,3.979898,7.360361,9.25648,1.256521,5.196,Time,5891,27,5.8901936518518525,5.445838518518519
61,3.759954,8.209825,8.596115,1.025799,3.162,Tool,5913,10,7.539747869999999,2.17951888
62,4.187849,7.204518,8.429316,0.609903,4.359,Trade,5934,19,7.031208115789474,-0.3243993997894737
63,3.200349,7.345871,7.542535,1.577584,6.782,Water,6179,46,3.3282223304347824,3.705926752173913
64,6.422715,7.540354,10.956542,2.366264,5.657,Writing,6308,32,9.781872584375,2.505326996875
65,6.620551,8.394042,10.447934,1.305062,3.464,Algebra,6469,12,7.684507008333334,8.217070791666666
66,2.435588,7.374049,7.580449,1.320883,4.243,Animal,6545,18,1.58059285,2.2688841222222225
67,6.298877,6.701029,10.33011,1.84168,6.083,Cell (biology),6834,37,0.6805977362162162,2.242206137837838
68,1.388691,7.616411,6.601855,1.78375,4.796,Chemistry,6865,23,4.178134813043478,4.958365447826087
69,3.626583,7.09694,8.113964,1.839891,6.164,Computer,6943,38,6.900038950000001,6.615242181578947
70,4.746469,7.390216,10.653136,1.92773,3.742,Disease,7043,14,7.590457649999999,4.659347921428571
71,3.849601,8.04696,8.582481,1.696929,6.557,Early modern period,7078,43,7.776794460465116,0.8616852552093023
72,3.850077,7.623056,8.649527,1.332746,6.164,Economics,7089,38,6.955496592105264,-1.6391163544736842
73,3.531478,7.244742,6.924535,1.377123,5.292,Law,7670,28,8.862100321428573,-1.7127695678571428
74,2.339011,7.593543,6.817249,1.361504,5.477,Mathematics,7790,30,7.418464496666667,6.880253436666666
75,3.173914,8.055285,7.683681,1.241384,5.0,Matter,7792,25,4.0827591519999995,5.542316939999999
76,3.325996,8.300466,8.739232,0.655829,4.472,Medicine,7808,20,7.12807486,4.62750385
77,4.317495,6.351728,9.317923,1.09908,5.657,Number,7957,32,7.344623240625,7.98181975625
78,4.083069,7.595643,9.135172,2.019073,5.196,Performing arts,8044,27,10.194335362962963,1.1853359185185186
79,6.434214,8.154628,11.955127,3.540079,5.831,Post-classical history,8127,34,7.4182157058823535,0.9270995052941177
80,4.275082,7.298573,8.999309,1.308015,5.292,Transport,8569,28,4.836593714285714,-0.7594915489285715
81,3.961894,6.72418,8.752624,1.559118,4.69,Visual arts,8640,22,10.556224613636363,0.6750121578181818
82,5.001124,7.633845,9.164204,1.775808,5.657,Biology,8796,32,1.79786127875,2.31296255
83,3.700659,7.042961,8.542177,1.847447,4.472,Business,8840,20,7.216369865,-0.5119979939999999
84,5.032042,7.404687,8.906726,1.039324,5.477,Chemical element,8895,30,3.8385475633333335,4.884013706666667
85,7.68335,8.766298,10.916501,2.769233,4.123,Communication,8944,17,10.562826794117647,3.4286457
86,4.916943,8.444875,9.517788,1.807463,5.196,Deity,9015,27,6.319257411111112,3.247497637037037
87,7.84536,8.682226,11.075596,2.926143,5.196,Ethics,9113,27,7.934826418518519,3.7949303555555556
88,5.695029,7.118068,11.706074,1.212146,3.162,Food,9148,10,2.58074613,2.1599625199999997
89,5.223835,7.736047,10.030548,1.738773,5.292,Geography,9168,28,4.308533378571428,3.208183592857143
90,3.036199,7.52685,7.832805,1.063846,5.196,Geology,9169,27,3.1889712925925924,3.4182919851851854
91,4.768392,6.918458,10.080223,1.910712,4.243,Government,9185,18,8.311874,-1.7306074361111112
92,4.720632,8.224215,8.897136,1.562313,5.568,Human history,9248,31,7.555899364516129,0.8755600318064516
93,4.862958,7.997976,9.670482,1.632745,4.123,Modern era,9419,17,7.882206958823529,0.14421883541176472
94,7.665358,8.176908,11.502331,2.339414,4.243,Philosophy,9539,18,7.758449377777778,4.069650144444444
95,3.087816,8.028682,7.552032,0.87512,6.928,Religion,9636,48,6.815484847916667,3.0968854500000003
96,4.511812,6.828733,9.182222,0.90921,5.477,Science,9697,30,7.011776436666667,4.796904045000001
97,6.364851,7.392838,10.83436,1.546529,4.899,Society,9752,24,8.685488016666667,-0.497272008
98,4.667138,7.323793,8.858734,1.068628,4.796,The arts,9861,23,10.853827717391304,0.6515447654782609
