id,article_id,article_title,section_path,heading,level,question,base_pca1,base_pca2,instruct_pca1,instruct_pca2,base_total_influence,instruct_total_influence,base_top_k_count,instruct_top_k_count,influence_diff,norm_base_influence,norm_instruct_influence,bert_umap1,bert_umap2,base_hub_score,instruct_hub_score
0,251,Knowledge,Introduction,Introduction,0,What is knowledge?,7.225959,5.83825,5.617957,0.271746,0.0,0.0,0,0,0.0,0.0,0.0,8.549151,3.7039058,-10,-10
1,251,Knowledge,Definitions,Definitions,2,How do philosophers define knowledge?,7.923076,9.162943,11.095577,2.225519,1.820283,1.073608,8,2,-0.746674,0.018135,0.01457,8.537439,3.6342115,-2,-8
2,251,Knowledge,Definitions > Analysis of knowledge,Analysis of knowledge,3,What are the main components that make up knowledge?,6.708623,8.495713,11.529059,2.37095,1.235444,1.155342,4,3,-0.080102,0.012308,0.01568,8.543078,3.698095,-6,-7
3,251,Knowledge,Types,Types,2,What are the different types of knowledge?,3.994388,7.306317,11.824952,2.33839,1.25203,1.280428,4,5,0.028398,0.012474,0.017377,8.623051,3.6499922,-6,-5
4,251,Knowledge,Types > Propositional,Propositional,3,What is propositional knowledge?,7.371257,8.962605,10.60366,3.04542,0.976894,1.029784,1,2,0.05289,0.009733,0.013976,8.577141,3.6864867,-9,-8
5,251,Knowledge,Types > Non-propositional,Non-propositional,3,What kinds of knowledge don't involve propositions or facts?,0.768366,8.83948,11.3428,2.729538,1.024197,1.014428,2,2,-0.009769,0.010204,0.013767,8.527523,3.6880493,-8,-8
6,251,Knowledge,Types > A priori and a posteriori,A priori and a posteriori,3,What's the difference between a priori and a posteriori knowledge?,8.868493,7.303335,12.248671,2.558229,1.245963,3.191374,3,12,1.945411,0.012413,0.043312,8.572686,3.7367244,-7,2
7,251,Knowledge,Types > Others,Others,3,Are there other ways to categorize knowledge besides the common types?,6.896316,9.252084,11.915771,2.868743,1.062269,1.574626,2,5,0.512357,0.010583,0.02137,8.568057,3.7214332,-8,-5
8,251,Knowledge,Limits,Limits,2,What are the limits of human knowledge?,8.261007,8.247835,11.787237,3.105514,2.409142,6.55842,11,35,4.149279,0.024002,0.089007,8.447714,3.796537,1,25
9,251,Knowledge,Structure,Structure,2,How is knowledge structured or organized?,8.414639,8.514752,12.424587,0.199563,1.073442,0.970355,2,1,-0.103087,0.010695,0.013169,8.508235,3.7571647,-8,-9
