article_id,article_title,section_count,bert_x,bert_y,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
251,Knowledge,17,8.49694994117647,3.6784398352941174,53.100844107860986,22.078747374712464,2,0.35,0.58,22.341329234324093,14.964693481220921,3,0.16,0.5
280,Manufacturing,13,6.593160592307693,-0.10242245269230767,48.40417061160608,6.745978887871469,2,0.24,0.23,50.48885041308382,19.998518226162023,3,0.7,0.7
297,Mind,20,8.534631225,4.3845676,63.35796177901805,53.65876210668124,2,0.58,0.98,11.342759565658449,15.903977855225273,3,0.05,0.54
326,Oceania,40,5.9816103975,0.5202623885,54.65662249138759,42.183931605500014,2,0.41,0.88,53.876185605438536,18.65162945621639,3,0.78,0.64
363,Prehistory,17,7.7839686529411765,1.5520967588235293,12.52423761438183,42.52540750805941,2,0.03,0.89,29.20740775561939,14.023683441960031,3,0.23,0.41
400,Sea,37,3.347407135135135,2.725709413783784,57.9679620389722,29.510382006600484,2,0.46,0.7,36.69668549153689,24.162421622384972,3,0.4,0.8
469,Universe,27,4.135927411111111,5.524656829629629,53.75752143186356,35.69659075267868,2,0.36,0.78,33.10124615670261,14.720591098507793,3,0.32,0.46
644,Africa,29,6.1985435620689655,1.408417277586207,79.37938844951157,1.4227348809213123,2,0.86,0.05,45.984689284121885,10.444391085516576,3,0.62,0.29
660,Agriculture,30,3.4342367666666664,1.7551941033333334,38.35797077617056,1.3369225917619383,2,0.12,0.04,50.947262576149775,15.288655909958099,3,0.73,0.51
802,Ancient history,34,7.508070214705882,1.2394849126470588,70.82054228221688,20.79351102439443,2,0.77,0.54,33.97153992749197,1.7817920422107556,3,0.35,0.03
902,Architecture,23,9.958880130434782,0.22267440586956522,47.91174740757473,21.09473034717386,2,0.23,0.56,36.052920756816256,6.100544289898692,3,0.39,0.16
911,Arithmetic,23,7.416453273913043,8.118908982608696,68.03687516663058,32.88516713349967,2,0.7,0.76,13.608432078933516,12.397147671545861,3,0.07,0.38
937,Asia,25,6.096093852,1.1992791956,42.29228052616584,4.654648607411791,2,0.15,0.17,46.665136630219855,7.556513260566014,3,0.63,0.2
962,Astronomy,31,3.4349248548387097,5.431159203225806,49.83405365247992,18.02318903789238,2,0.27,0.49,40.78149987601146,36.01929268200776,3,0.5,0.97
973,Atmosphere of Earth,23,2.1607319434782606,3.947461591304348,44.74932057219471,30.117418875541528,2,0.19,0.72,31.898496762746394,14.853813286864614,3,0.26,0.48
1524,Civilization,13,8.298863146153845,1.026280543076923,64.28199759825108,20.946083192266304,2,0.59,0.55,53.681588092431724,9.9081892606762,3,0.77,0.25
1540,Climate,8,2.8694590125,2.9779155125,64.79563209000779,25.640033166752243,2,0.61,0.63,50.12677007254134,34.90795213448088,3,0.69,0.95
1546,Clothing,23,5.718251417391305,-1.2639344382608697,59.29448096928786,2.699655209721427,2,0.49,0.09,53.0333683817416,11.767736238658381,3,0.75,0.35
1737,Culture,13,9.175620692307692,1.0286246799999998,5.0480485542378,18.673380762640104,2,0.02,0.51,55.72311728160749,22.941088587590666,3,0.81,0.76
1803,Death,37,5.298004085675675,2.569648643243243,70.40445965448521,0.8416091020935377,2,0.74,0.02,41.92878805656341,19.982643231219942,3,0.54,0.69
1949,Earth,29,2.45818375862069,3.808475706896552,52.198551821991956,13.185715151669427,2,0.31,0.35,35.93122263178151,12.066494912740437,3,0.37,0.37
1967,Ecology,41,2.052383992682927,2.145759443902439,94.89494651367941,8.658210735495762,2,0.93,0.26,73.62515486642532,19.39890228566946,3,0.96,0.67
1988,Education,23,9.106651586956522,3.002584,53.065198983698906,31.8216573254241,2,0.33,0.74,0.4502448329572803,8.970439844967586,3,0.01,0.22
2035,Electricity,17,4.978414758823529,5.613611176470588,-21.164745560950937,14.356918381721592,2,0.01,0.38,29.07010570927146,13.304700591824236,3,0.22,0.4
2064,Emotion,33,9.455235621212122,4.682217733333333,69.03728682638435,22.250334273536303,2,0.71,0.59,103.00313916793641,27.52961342198764,3,1.0,0.83
2082,Energy,22,4.052469768181818,5.3141695409090905,18.030118012137915,28.91780813698168,2,0.05,0.69,21.665896947198718,4.178764605968389,3,0.15,0.09
2084,Engineering,20,6.88746637,4.515887385,78.13774617236146,7.8082150047267955,2,0.84,0.24,38.99092545390563,9.405572682873405,3,0.45,0.23
2090,Entertainment,32,10.9952224375,1.24698813115625,54.12560163797137,30.85097642581704,2,0.37,0.73,14.969596524481531,10.648156884503955,3,0.08,0.3
2139,Ethnicity,14,7.613369764285714,0.05215417500000002,18.01945362952855,8.800923060555245,2,0.04,0.28,37.16360104369449,14.665338583623772,3,0.43,0.45
2157,Europe,30,6.365444569999999,0.9266764948666667,36.17928631934194,32.57452864058146,2,0.1,0.75,62.1079719913927,23.38807520193232,3,0.9,0.79
2171,Evolution,31,1.5910899335483872,1.6433163064516128,21.06174315590704,34.84979076378579,2,0.06,0.77,50.56528217170029,14.878053231812903,3,0.71,0.49
2207,Family,50,9.422334976,-0.9900259680000001,57.99859535179977,44.027302134857926,2,0.47,0.91,59.96507614889552,23.077469864804794,3,0.89,0.78
2271,Fire,15,3.7633767533333335,3.876312786666667,97.1475980267123,41.28361296170383,2,0.96,0.86,42.6095872384854,20.389918821696707,3,0.58,0.71
2307,Folklore,19,9.648400578947369,1.1709066631578948,64.82713782260683,5.626739559861269,2,0.62,0.19,32.256347618574516,10.419276384650564,3,0.28,0.28
2412,Game,26,12.37110275769231,-0.04753462836538462,48.52927738036343,19.65947746981468,2,0.25,0.53,76.45104185855087,29.576728294987888,3,0.97,0.87
2458,Geometry,29,8.20739231724138,8.133761082758621,33.73054993932391,37.32398656546661,2,0.09,0.82,32.37086920529438,2.6292297700286316,3,0.3,0.05
2812,History,18,8.613060805555556,1.9975429983333335,70.17134682191103,53.99727765140031,2,0.73,0.99,8.239817614399762,18.948606250410332,3,0.04,0.65
2930,Home,10,9.233874349999999,-0.202583495,70.11128580375066,16.714521462560857,2,0.72,0.47,24.63035918470422,8.546330876044822,3,0.18,0.21
2981,Human,31,7.59170544516129,1.6755059183870966,60.266757171495584,3.2269929002151425,2,0.53,0.12,54.67307232364283,30.712221098937384,3,0.8,0.89
2988,Human settlement,11,4.766127054545454,2.1792296454545452,67.08799048384222,35.70648328233571,2,0.68,0.79,49.23746342535018,42.559700440995144,3,0.68,1.0
3545,Land,33,3.657661009090909,2.434947554242424,60.19101750905357,42.64155106812753,2,0.52,0.9,21.494950233868625,31.854205816120345,3,0.14,0.91
3551,Language,35,10.128675414285714,3.0012762114285714,59.512897626262145,7.990556962939682,2,0.5,0.25,80.72476368954338,26.764211165527595,3,0.98,0.82
3642,Life,28,2.0730204375,2.5915618,102.43019324275271,26.227288408261025,2,0.99,0.65,53.14300309648788,10.682134223710344,3,0.76,0.31
3668,Literature,28,10.123230071428571,1.4275146382142856,95.57043978629065,6.158307263360639,2,0.94,0.21,72.77920869306071,18.508090449992782,3,0.93,0.62
3679,Logic,32,9.615952225,6.973192015625,54.45119143229972,11.470947480198392,2,0.39,0.34,41.255567989786826,30.541840976128686,3,0.53,0.88
3881,Mass media,21,10.685932095238096,1.8591386280952382,97.31163397995118,15.586547577244868,2,0.97,0.43,44.336977620540495,5.158307973879407,3,0.6,0.13
4108,Moon,48,1.7931553052083335,4.6562276958333335,57.464163871500546,9.353223126689455,2,0.45,0.29,39.14328793012935,12.030562420438846,3,0.46,0.36
4160,Music,43,11.550590860465116,1.676692123255814,67.15167620670266,2.2346066631964536,2,0.69,0.07,57.41894846583282,16.9627483386867,3,0.85,0.57
4335,North America,31,5.31450335483871,0.9671724974193548,70.58240304730433,36.32807711989442,2,0.76,0.81,36.90205614857627,5.090016591906372,3,0.42,0.11
4697,Physics,24,5.313159858333333,5.3563499750000005,54.53901654011652,6.563297074784942,2,0.4,0.22,46.9083493596973,6.020617320956255,3,0.64,0.15
4727,Plant,24,1.99497576875,2.2161061291666666,88.92767753042342,19.459397127137088,2,0.89,0.52,48.23907589733696,32.15575534071261,3,0.65,0.93
4768,Politics,32,8.383494421875,-1.2876770715625,73.83389009349165,3.947919836708551,2,0.81,0.13,53.89846851188353,14.372726577188867,3,0.79,0.44
4879,Psychology,48,8.554003197916666,4.6587705604166665,65.22010731863236,13.896026702688628,2,0.65,0.37,36.71648216605475,16.06321334252882,3,0.41,0.55
5024,Reproduction,13,0.961150636923077,1.493256346153846,57.15998171329039,2.2625169696887886,2,0.44,0.08,38.12257850341525,14.350157311031882,3,0.44,0.42
5448,Solar System,30,1.7510525833333332,5.24921698,64.46682970073415,8.69849115016222,2,0.6,0.27,39.39403839253179,32.15116884353254,3,0.49,0.92
5471,South America,38,5.091927968421053,0.430838008,51.11564048203021,5.915166795478712,2,0.28,0.2,33.25153590314486,7.321936584881316,3,0.33,0.18
5550,State (polity),31,8.499223903225806,-0.9455506948387096,45.62016688255198,15.216809705315171,2,0.21,0.42,29.65720735538599,9.948717733285953,3,0.24,0.26
5553,Statistics,25,8.14270976,5.945568872,51.80888124580939,4.1780540450307635,2,0.3,0.15,25.060361564341836,16.79444144421028,3,0.19,0.56
5632,Sun,31,2.4410642193548386,4.853905416129033,60.35289218944534,4.017810817360694,2,0.54,0.14,48.30572832515494,4.884409539020133,3,0.66,0.1
5744,Technology,23,7.42177782173913,2.4370607739130437,65.4381957152052,36.061377179399884,2,0.66,0.8,15.10810738926727,28.189442123503735,3,0.09,0.85
5891,Time,27,5.8901936518518525,5.445838518518519,58.114188047468716,2.8272702048056884,2,0.48,0.1,42.09395344091189,14.729234594590672,3,0.57,0.47
5913,Tool,10,7.539747869999999,2.17951888,52.21975937487131,14.551632456379538,2,0.32,0.39,32.84403602602799,15.695935929677859,3,0.31,0.53
5934,Trade,19,7.031208115789474,-0.3243993997894737,42.36241828909626,10.634891869112488,2,0.16,0.33,56.72446222364055,19.650283640218838,3,0.83,0.68
6179,Water,46,3.3282223304347824,3.705926752173913,70.49641515820895,18.562278805288354,2,0.75,0.5,51.55584588365596,21.985619316742795,3,0.74,0.74
6308,Writing,32,9.781872584375,2.505326996875,105.53463389864157,52.02963365984976,2,1.0,0.96,39.15239558014835,39.05576019707338,3,0.47,0.99
6469,Algebra,12,7.684507008333334,8.217070791666666,53.08433290686088,22.379119446406595,2,0.34,0.6,16.843445355105704,19.30167017914887,3,0.1,0.66
6545,Animal,18,1.58059285,2.2688841222222225,55.93281157916881,14.648459511609726,2,0.42,0.4,44.88616996427155,11.093259703245932,3,0.61,0.33
6834,Cell (biology),37,0.6805977362162162,2.242206137837838,74.71073168633507,49.86358684162567,2,0.82,0.95,42.07932093228018,38.317821144005826,3,0.56,0.98
6865,Chemistry,23,4.178134813043478,4.958365447826087,47.775115075233465,23.567906620581223,2,0.22,0.62,57.74161405138105,15.511614240133614,3,0.86,0.52
6943,Computer,38,6.900038950000001,6.615242181578947,65.93112972428003,26.42758490518942,2,0.67,0.66,32.053548883702426,4.027060109977656,3,0.27,0.08
7043,Disease,14,7.590457649999999,4.659347921428571,61.53031362234577,23.366276601375215,2,0.55,0.61,35.21741485088143,21.915094871606122,3,0.36,0.73
7078,Early modern period,43,7.776794460465116,0.8616852552093023,78.82961068393357,26.107536496619932,2,0.85,0.64,67.03543093237538,5.146616597173959,3,0.92,0.12
7089,Economics,38,6.955496592105264,-1.6391163544736842,72.83537301735818,1.1553135220866269,2,0.8,0.03,57.01574986004211,12.96394762993133,3,0.84,0.39
7670,Law,28,8.862100321428573,-1.7127695678571428,43.80318170224163,16.066998726023627,2,0.18,0.44,59.80599319197517,21.787836107891646,3,0.88,0.72
7790,Mathematics,30,7.418464496666667,6.880253436666666,65.09368716726405,46.419106202558936,2,0.64,0.93,56.36270897273071,1.5635436653898438,3,0.82,0.02
7792,Matter,25,4.0827591519999995,5.542316939999999,86.74889650506297,21.83055313547946,2,0.88,0.57,63.014271463554714,24.672120867320114,3,0.91,0.81
7808,Medicine,20,7.12807486,4.62750385,42.9111501617589,5.561581944237601,2,0.17,0.18,41.93649857376056,3.7332801264400417,3,0.55,0.07
7957,Number,32,7.344623240625,7.98181975625,39.79600420861602,16.56720004545933,2,0.13,0.46,23.94115123231241,32.656466577565006,3,0.17,0.94
8044,Performing arts,27,10.194335362962963,1.1853359185185186,92.5016068916548,38.8766688267368,2,0.9,0.84,59.64248152808026,17.794599198499668,3,0.87,0.6
8127,Post-classical history,34,7.4182157058823535,0.9270995052941177,64.94045351149038,28.565692222222804,2,0.63,0.68,42.900008230012325,18.644387919809947,3,0.59,0.63
8569,Transport,28,4.836593714285714,-0.7594915489285715,56.99585288855751,4.2010503878541625,2,0.43,0.16,32.291541351048515,10.256405749497844,3,0.29,0.27
8640,Visual arts,22,10.556224613636363,0.6750121578181818,62.51347465838778,1.5077855288174913,2,0.57,0.06,73.32918260085263,5.638645542187563,3,0.95,0.14
8796,Biology,32,1.79786127875,2.31296255,93.71530014847437,42.05278703350324,2,0.91,0.87,39.245843324894615,22.889686885896538,3,0.48,0.75
8840,Business,20,7.216369865,-0.5119979939999999,98.2168431159185,16.383243657776298,2,0.98,0.45,73.05420673897476,6.707981338388677,3,0.94,0.17
8895,Chemical element,30,3.8385475633333335,4.884013706666667,51.73486636669892,27.21636975478213,2,0.29,0.67,30.251194561119718,17.252412540417236,3,0.25,0.58
8944,Communication,17,10.562826794117647,3.4286457,41.754151944915236,39.71936837530044,2,0.14,0.85,4.683056759395442,22.957920092056515,3,0.02,0.77
