section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
0,251,Knowledge,Introduction,Introduction,0,8.549151,3.7039058,56.004992744143884,48.48558174862973,2,0.5225563909774437,0.562406015037594,1.9133109064169698,48.261092905442034,3,0.13345864661654136,0.693609022556391
1,251,Knowledge,Definitions,Definitions,2,8.537439,3.6342115,23.538770679048547,44.93345949653011,2,0.3015037593984962,0.5334586466165413,5.103307118049458,9.635495024995999,3,0.15714285714285714,0.11466165413533834
2,251,Knowledge,Definitions > Analysis of knowledge,Analysis of knowledge,3,8.543078,3.698095,42.11886706988487,15.754836036809822,2,0.42894736842105263,0.2037593984962406,17.98743768006634,13.854252455089634,3,0.2943609022556391,0.19736842105263158
3,251,Knowledge,Types,Types,2,8.623051,3.6499922,171.2870700849487,27.111177025880156,2,0.9225563909774436,0.3447368421052632,97.88707652425747,40.101169557942086,3,0.8830827067669172,0.6135338345864662
4,251,Knowledge,Types > Propositional,Propositional,3,8.577141,3.6864867,23.08216481167086,18.0528582995139,2,0.2962406015037594,0.23345864661654137,9.465206829788814,2.043607059322581,3,0.20037593984962407,0.006766917293233083
5,251,Knowledge,Types > Non-propositional,Non-propositional,3,8.527523,3.6880493,51.108774956294226,5.992595614834875,2,0.4906015037593985,0.081203007518797,28.27393739921929,10.25147545802898,3,0.42894736842105263,0.12669172932330827
6,251,Knowledge,Types > A priori and a posteriori,A priori and a posteriori,3,8.572686,3.7367244,101.43200568717576,55.165265893042765,2,0.7616541353383459,0.6229323308270677,40.016321513770016,46.80568375078345,3,0.5605263157894737,0.6796992481203008
7,251,Knowledge,Types > Others,Others,3,8.568057,3.7214332,17.956912627880463,10.08430469037584,2,0.26090225563909775,0.1281954887218045,1.420637789073016,18.962450368719118,3,0.1293233082706767,0.3026315789473684
8,251,Knowledge,Limits,Limits,2,8.447714,3.796537,54.295943747773094,23.046545564917675,2,0.5105263157894737,0.2981203007518797,22.0163615147585,22.98253321497957,3,0.34962406015037595,0.3676691729323308
9,251,Knowledge,Structure,Structure,2,8.508235,3.7571647,18.400167109407334,17.24485591494581,2,0.2642857142857143,0.2199248120300752,11.74012250987077,8.479312222286547,3,0.22142857142857142,0.09661654135338346
10,251,Knowledge,Value,Value,2,8.530054,3.675349,46.347540720197934,3.0240213165986805,2,0.4616541353383459,0.04360902255639098,27.580539644622178,13.754139463021495,3,0.42142857142857143,0.1962406015037594
11,251,Knowledge,Science,Science,2,7.838934,5.2223516,65.3959592757771,58.01544002532964,2,0.5830827067669173,0.643984962406015,4.498963540841317,20.839218584627933,3,0.15150375939849625,0.33533834586466166
12,251,Knowledge,History,History,2,8.450306,2.101804,39.46241546275181,3.813813666886318,2,0.40827067669172934,0.056766917293233084,9.070911431955496,4.5802671595912745,3,0.19548872180451127,0.03270676691729323
13,251,Knowledge,In various disciplines > Religion,Religion,3,8.40855,3.6651533,42.91129121028028,25.049996155514016,2,0.4357142857142857,0.32218045112781957,9.699841876642255,7.323857087832396,3,0.2026315789473684,0.07706766917293233
14,251,Knowledge,In various disciplines > Anthropology,Anthropology,3,8.591941,3.525986,50.39673450686416,15.069758170850884,2,0.4857142857142857,0.1943609022556391,28.10319349288041,18.12474068627364,3,0.4266917293233083,0.2868421052631579
15,251,Knowledge,In various disciplines > Sociology,Sociology,3,8.593736,3.479626,80.8331193444468,68.20278661043153,2,0.6729323308270677,0.7037593984962406,44.8635054473101,70.59555778446008,3,0.6112781954887218,0.8312030075187969
16,251,Knowledge,In various disciplines > Others,Others,3,8.580553,3.7906075,18.141619795090932,2.498954420450216,2,0.26203007518796995,0.03684210526315789,20.161921763987234,10.059179934090835,3,0.324812030075188,0.12218045112781954
